EmployeeID,Department,Gender,Age,Education,Salary,Tenure,Satisfaction,AbsentDays,Promotion
1,Sales,Male,30,Bachelor's,60000,3,4,2,Yes
2,Marketing,Female,25,Master's,75000,2,5,0,No
3,Engineering,Male,35,PhD,90000,7,3,5,Yes
4,HR,Female,40,Bachelor's,65000,10,4,1,No
5,Sales,Female,28,Associate's,55000,1,3,3,No
6,Engineering,Male,45,Master's,100000,12,5,0,Yes
7,Marketing,Male,32,Bachelor's,70000,5,4,2,No
8,HR,Female,27,Associate's,58000,1,2,4,No
9,Sales,Male,38,PhD,85000,9,5,1,Yes
10,Engineering,Female,31,Bachelor's,80000,4,4,0,No
11,Marketing,Female,29,Master's,78000,3,5,1,Yes
12,HR,Male,33,Bachelor's,62000,6,3,3,No
13,Sales,Female,26,Associate's,52000,2,4,2,No
14,Engineering,Male,42,PhD,95000,11,5,0,Yes
15,Marketing,Male,30,Bachelor's,68000,4,3,4,No
16,HR,Female,35,Master's,72000,8,4,1,Yes
17,Sales,Male,27,Associate's,56000,1,2,5,No
18,Engineering,Female,39,Bachelor's,88000,7,5,0,Yes
19,Marketing,Female,24,Bachelor's,65000,1,4,2,No
20,HR,Male,41,PhD,78000,10,3,3,No
21,Sales,Male,31,,62000,3,4,1,Yes
22,Marketing,Female,,76000,2,5,0,No
23,Engineering,,36,Master's,92000,8,3,6,Yes
24,HR,Female,42,Bachelor's,,9,4,0,No
25,Sales,Female,29,Associate's,57000,,3,2,4,No